frame,time_s,total_kinetic_energy_J
1,0.004166666666666667,0.0
2,0.008333333333333333,0.0005401631600484252
3,0.0125,0.0004936899854466319
4,0.016666666666666666,0.0004295583920380557
5,0.020833333333333332,0.00042271943451080733
6,0.025,0.00028024033420393245
7,0.029166666666666667,0.00029630070694000463
8,0.03333333333333333,0.000284442958235275
9,0.0375,0.0002794470163420356
10,0.041666666666666664,0.00028130865527583226
11,0.04583333333333333,0.0002900243749822257
12,0.05,0.00030559098074189384
13,0.05416666666666667,0.0003280051544602029
14,0.058333333333333334,0.0003572622274432797
15,0.0625,0.00035522661701438483
16,0.06666666666666667,0.0003715660601876734
17,0.07083333333333333,0.00040191125880249454
18,0.075,0.00043647095068088677
19,0.07916666666666666,0.0004752607702364985
20,0.08333333333333333,0.0005182342896080227
21,0.0875,0.0005654833167102953
22,0.09166666666666666,0.0006181219215063843
23,0.09583333333333334,0.000676086562367331
24,0.1,0.0007391158675059716
25,0.10416666666666667,0.0008072151328281928
26,0.10833333333333334,0.0008804019388878597
27,0.1125,0.0009587126046734513
28,0.11666666666666667,0.0010421450454053138
29,0.12083333333333333,0.0011306879202177844
30,0.125,0.0012243381809697675
31,0.12916666666666668,0.0013230888444039884
32,0.13333333333333333,0.0014269468845909431
33,0.1375,0.0015534627087552216
34,0.14166666666666666,0.0016797791561423583
35,0.14583333333333334,0.0017879239711714107
36,0.15,0.001917959868516262
37,0.15416666666666667,0.0020552334725530675
38,0.15833333333333333,0.0021886884542784975
39,0.1625,0.0023272940529448353
40,0.16666666666666666,0.002471057985054231
41,0.17083333333333334,0.0026199344610767276
42,0.175,0.0027739687706714103
43,0.17916666666666667,0.0029332074143866484
44,0.18333333333333332,0.0030976100596939705
45,0.1875,0.0032671181620032427
46,0.19166666666666668,0.003441495280143334
47,0.19583333333333333,0.0036211605927048613
48,0.2,0.0038067460738149274
49,0.20416666666666666,0.003998236050570944
50,0.20833333333333334,0.004195656918927961
51,0.2125,0.004398990442946437
52,0.21666666666666667,0.004608247133540412
53,0.22083333333333333,0.0048234058812971345
54,0.225,0.005044460858419072
55,0.22916666666666666,0.005271222181306679
56,0.23333333333333334,0.005504333653853304
57,0.2375,0.005744192984057969
58,0.24166666666666667,0.0059907702563464695
59,0.24583333333333332,0.00624408491052108
60,0.25,0.006504135713774886
61,0.25416666666666665,0.0067708911039606025
62,0.25833333333333336,0.0070443753508212395
63,0.2625,0.007324577614864946
64,0.26666666666666666,0.007611478703131521
65,0.2708333333333333,0.007905100998402428
66,0.275,0.008205406542300335
67,0.2791666666666667,0.008512443397020543
68,0.2833333333333333,0.008826172092690482
69,0.2875,0.009146569369166595
70,0.2916666666666667,0.00947371250451525
71,0.29583333333333334,0.00980747596938297
72,0.3,0.010147955875604006
73,0.30416666666666664,0.010495132839409373
74,0.30833333333333335,0.01084894967312127
75,0.3125,0.011209485777277615
76,0.31666666666666665,0.01157666061768547
77,0.32083333333333336,0.01195049666875333
78,0.325,0.012331021454872679
79,0.32916666666666666,0.012718199950522657
80,0.3333333333333333,0.013112017500528367
81,0.3375,0.013512510204434221
82,0.3416666666666667,0.013919656098566222
83,0.3458333333333333,0.01433341643928975
84,0.35,0.014753870643267409
85,0.3541666666666667,0.01518090064190366
86,0.35833333333333334,0.01561463196710506
87,0.3625,0.016054927419321262
88,0.36666666666666664,0.016501910313866885
89,0.37083333333333335,0.01695555734968945
90,0.375,0.017415701096945617
91,0.37916666666666665,0.017882594112310763
92,0.38333333333333336,0.018355973147412354
93,0.3875,0.018836022365262908
94,0.39166666666666666,0.019322787890825973
95,0.3958333333333333,0.019815966683168634
96,0.4,0.020315939746081712
97,0.4041666666666667,0.020822353376002866
98,0.4083333333333333,0.021335414342709906
99,0.4125,0.021855164286741842
100,0.4166666666666667,0.02238130920702318
101,0.42083333333333334,0.022914233731845743
102,0.425,0.02345362188457555
103,0.42916666666666664,0.023999591501747027
104,0.43333333333333335,0.024552217294271976
105,0.4375,0.025111328473878328
106,0.44166666666666665,0.025677072678312603
107,0.44583333333333336,0.026249367467578326
108,0.45,0.026828181105754863
109,0.45416666666666666,0.027413584055212735
110,0.4583333333333333,0.02800556259424708
111,0.4625,0.0286040654664817
112,0.4666666666666667,0.0292091121282168
113,0.4708333333333333,0.029820728570460867
114,0.475,0.030438828567081362
115,0.4791666666666667,0.03106357205570562
116,0.48333333333333334,0.03169475801116938
117,0.4875,0.03233241121593589
118,0.49166666666666664,0.03297686332488057
119,0.49583333333333335,0.03362751018209697
120,0.5,0.034284944984139525
121,0.5041666666666667,0.03494870284895864
122,0.5083333333333333,0.035619035407762276
123,0.5125,0.03629593216340957
124,0.5166666666666667,0.03697939712563221
125,0.5208333333333334,0.03766928212889881
126,0.525,0.03836552220867004
127,0.5291666666666667,0.03906850677196766
128,0.5333333333333333,0.03977784159616224
129,0.5375,0.04049368218114349
130,0.5416666666666666,0.04121597988003201
131,0.5458333333333333,0.04194495542120898
132,0.55,0.04268017434281585
133,0.5541666666666667,0.04342191444206668
134,0.5583333333333333,0.04417008125801143
135,0.5625,0.04492515445945499
136,0.5666666666666667,0.04568610360946206
137,0.5708333333333333,0.04645390884662207
138,0.575,0.0472280857667278
139,0.5791666666666667,0.04800849113664008
140,0.5833333333333334,0.04879560838343998
141,0.5875,0.04958907882639708
142,0.5916666666666667,0.050389027749306786
143,0.5958333333333333,0.05119550035718945
144,0.6,0.05200828511816965
145,0.6041666666666666,0.05282748431526779
146,0.6083333333333333,0.05365322619175643
147,0.6125,0.05448528566499189
148,0.6166666666666667,0.05532389857959174
149,0.6208333333333333,0.05616896394392886
150,0.625,0.05702011590068261
151,0.6291666666666667,0.05787830541566008
152,0.6333333333333333,0.05874217681663155
153,0.6375,0.059613003538956516
154,0.6416666666666667,0.060490015835980335
155,0.6458333333333334,0.06137342242877686
156,0.65,0.06226337068416804
157,0.6541666666666667,0.06315969767139659
158,0.6583333333333333,0.06406208057509531
159,0.6625,0.0649715435744178
160,0.6666666666666666,0.06588648561403321
161,0.6708333333333333,0.06680860426889698
162,0.675,0.06773668859176553
163,0.6791666666666667,0.06867146149526185
164,0.6833333333333333,0.06961213222193663
165,0.6875,0.07055947455181086
166,0.6916666666666667,0.07151327160055387
167,0.6958333333333333,0.07247334620901517
168,0.7,0.0734394038604428
169,0.7041666666666667,0.07441264696837382
170,0.7083333333333334,0.0753916816550306
171,0.7125,0.07637712149809321
172,0.7166666666666667,0.07736872578198986
173,0.7208333333333333,0.07836680433665402
174,0.725,0.07937177786973619
175,0.7291666666666666,0.08038241725320008
176,0.7333333333333333,0.08139934680652887
177,0.7375,0.08242347922134734
178,0.7416666666666667,0.08345276106801504
179,0.7458333333333333,0.0844890284764221
180,0.75,0.08553150116755248
181,0.7541666666666667,0.08658020574404791
182,0.7583333333333333,0.08763546171583436
183,0.7625,0.0886975784970822
184,0.7666666666666667,0.0897643229551072
185,0.7708333333333334,0.09083880651638081
186,0.775,0.09191870149976245
187,0.7791666666666667,0.09300578393449511
188,0.7833333333333333,0.09409879389037558
189,0.7875,0.09519841514412933
190,0.7916666666666666,0.09630280742752523
191,0.7958333333333333,0.09741526464379323
192,0.8,0.09853339834886891
193,0.8041666666666667,0.09965752108166288
194,0.8083333333333333,0.10078845918746385
195,0.8125,0.10192557120977075
196,0.8166666666666667,0.10306829473220376
197,0.8208333333333333,0.10421795727576895
198,0.825,0.10537382272230758
199,0.8291666666666667,0.10653555906306711
200,0.8333333333333334,0.10770389029884793
201,0.8375,0.10887811128795417
202,0.8416666666666667,0.11005939505768259
203,0.8458333333333333,0.1112454918335082
204,0.85,0.1124397362401675
205,0.8541666666666666,0.11363856995976541
206,0.8583333333333333,0.11484466520913536
207,0.8625,0.11605588008440952
