frame,time_s,total_kinetic_energy_J
1,0.004166666666666667,0.0
2,0.008333333333333333,0.0005401631600484252
3,0.0125,0.0004936899854466319
4,0.016666666666666666,0.0004290246950218648
5,0.020833333333333332,0.0004181914348069404
6,0.025,0.00027824365491885695
7,0.029166666666666667,0.00029401986481784843
8,0.03333333333333333,0.0002820865791545366
9,0.0375,0.00027701556029881475
10,0.041666666666666664,0.00027880162163174826
11,0.04583333333333333,0.0002874421558454633
12,0.05,0.0003029335373758804
13,0.05416666666666667,0.00032527246160292996
14,0.058333333333333334,0.00035445442113932223
15,0.0625,0.0003465487340409891
16,0.06666666666666667,0.000366177979585671
17,0.07083333333333333,0.00039626457440572265
18,0.075,0.00043030662493678395
19,0.07916666666666666,0.00046870532360079506
20,0.08333333333333333,0.0005112867814068213
21,0.0875,0.0005580401481953823
22,0.09166666666666666,0.0006092303963422673
23,0.09583333333333334,0.0006660915493809862
24,0.1,0.0007281941682502803
25,0.10416666666666667,0.000795385467756335
26,0.10833333333333334,0.000867708173001136
27,0.1125,0.0009451885735268897
28,0.11666666666666667,0.001027801312150048
29,0.12083333333333333,0.0011155372361543196
30,0.125,0.0012084035283772972
31,0.12916666666666668,0.001306393594061199
32,0.13333333333333333,0.0014095114559531793
33,0.1375,0.0015283057233044964
34,0.14166666666666666,0.0016500484712022327
35,0.14583333333333334,0.0017678239508794318
36,0.15,0.0018875238007040104
37,0.15416666666666667,0.002025271593241097
38,0.15833333333333333,0.0021577435662747846
39,0.1625,0.002295309577940636
40,0.16666666666666666,0.0024380469521244814
41,0.17083333333333334,0.002585933054644391
42,0.175,0.002739015330864365
43,0.17916666666666667,0.002897222113836606
44,0.18333333333333332,0.003060559955519518
45,0.1875,0.0032290200423473127
46,0.19166666666666668,0.0034026053058046164
47,0.19583333333333333,0.003581298814193702
48,0.2,0.0037651086211468064
49,0.20416666666666666,0.003953836569215404
50,0.20833333333333334,0.004147797947949211
51,0.2125,0.0043477220605118785
52,0.21666666666666667,0.0045536300405526415
53,0.22083333333333333,0.0047655242139949695
54,0.225,0.004983361518401129
55,0.22916666666666666,0.005206875500885944
56,0.23333333333333334,0.00543605772765624
57,0.2375,0.005671557557235036
58,0.24166666666666667,0.005913790645692323
59,0.24583333333333332,0.006162746648265514
60,0.25,0.00641843357466854
61,0.25416666666666665,0.0066808472678677065
62,0.25833333333333336,0.0069499843570272205
63,0.2625,0.007225833571319875
64,0.26666666666666666,0.007508399618079071
65,0.2708333333333333,0.007797680990900786
66,0.275,0.00809366111584712
67,0.2791666666666667,0.008396331030668168
68,0.2833333333333333,0.008705735830736404
69,0.2875,0.009021828150442977
70,0.2916666666666667,0.0093445917854039
71,0.29583333333333334,0.00967405537342024
72,0.3,0.010010225709763239
73,0.30416666666666664,0.010353039847509878
74,0.30833333333333335,0.010702577009154658
75,0.3125,0.011058744747989579
76,0.31666666666666665,0.01142165667592606
77,0.32083333333333336,0.01179113219525409
78,0.325,0.012167391777404992
79,0.32916666666666666,0.012550209685072826
80,0.3333333333333333,0.012939775597032566
81,0.3375,0.013335930591780867
82,0.3416666666666667,0.013738762567102443
83,0.3458333333333333,0.01414823160956148
84,0.35,0.01456437633772177
85,0.3541666666666667,0.014987156927161734
86,0.35833333333333334,0.015416537713598983
87,0.3625,0.0158525768904289
88,0.36666666666666664,0.016295267647987464
89,0.37083333333333335,0.016744544563286647
90,0.375,0.01720052454254113
91,0.37916666666666665,0.017663038059489336
92,0.38333333333333336,0.018132196754262316
93,0.3875,0.018608003440110186
94,0.39166666666666666,0.019090354782936803
95,0.3958333333333333,0.019579402939551453
96,0.4,0.02007499991268682
97,0.4041666666666667,0.020577180927078297
98,0.4083333333333333,0.021086031373390636
99,0.4125,0.021601332977001845
100,0.4166666666666667,0.022123430199281896
101,0.42083333333333334,0.022651963824086123
102,0.425,0.023187134124257658
103,0.42916666666666664,0.023728854522474283
104,0.43333333333333335,0.02427725838679215
105,0.4375,0.0248320952219725
106,0.44166666666666665,0.025393565085355018
107,0.44583333333333336,0.025961553508658135
108,0.45,0.026536181456202294
109,0.45416666666666666,0.02711734927668009
110,0.4583333333333333,0.027705074465704558
111,0.4625,0.028299326650816716
112,0.4666666666666667,0.02890017272581486
113,0.4708333333333333,0.029507470834488573
114,0.475,0.030121403279703578
115,0.4791666666666667,0.030741907179692527
116,0.48333333333333334,0.03136880188075692
117,0.4875,0.03200241500077781
118,0.49166666666666664,0.03264248478820146
119,0.49583333333333335,0.03328901562637451
120,0.5,0.033942110742193825
121,0.5041666666666667,0.03460167465858534
122,0.5083333333333333,0.035267829386092894
123,0.5125,0.03594048301278072
124,0.5166666666666667,0.036619749601812565
125,0.5208333333333334,0.0373052864638319
126,0.525,0.03799759180819604
127,0.5291666666666667,0.03869613116091932
128,0.5333333333333333,0.03940133036343881
129,0.5375,0.04011314938108495
130,0.5416666666666666,0.04083109552036738
131,0.5458333333333333,0.04155576804951648
132,0.55,0.04228702089359629
133,0.5541666666666667,0.04302458626456774
134,0.5583333333333333,0.04376851694775576
135,0.5625,0.044519238433825783
136,0.5666666666666667,0.04527604813188786
137,0.5708333333333333,0.04603966549629753
138,0.575,0.04680953988287546
139,0.5791666666666667,0.04758602992617275
140,0.5833333333333334,0.04836890834070457
141,0.5875,0.0491582086439305
142,0.5916666666666667,0.04995407676903857
143,0.5958333333333333,0.05075607321247354
144,0.6,0.0515648491705546
145,0.6041666666666666,0.052380009652012435
146,0.6083333333333333,0.05320131629140349
147,0.6125,0.05402945928460127
148,0.6166666666666667,0.05486379698396742
149,0.6208333333333333,0.05570464182664786
150,0.625,0.05655186471473181
151,0.6291666666666667,0.057405576278915106
152,0.6333333333333333,0.05826571031192288
153,0.6375,0.05913217172794364
154,0.6416666666666667,0.06000501553586667
155,0.6458333333333334,0.060884205229850254
156,0.65,0.06177024901252601
157,0.6541666666666667,0.06266212783692934
158,0.6583333333333333,0.06356061400067015
159,0.6625,0.06446559593355074
160,0.6666666666666666,0.06537684466341423
161,0.6708333333333333,0.06629456052596017
162,0.675,0.06721862956764282
163,0.6791666666666667,0.06814911821948196
164,0.6833333333333333,0.06908584694483166
165,0.6875,0.07002913616357279
166,0.6916666666666667,0.07097853031181328
167,0.6958333333333333,0.0719346360660019
168,0.7,0.07289673362901405
169,0.7041666666666667,0.07386579148668086
170,0.7083333333333334,0.07484026825014653
171,0.7125,0.07582180920138198
172,0.7166666666666667,0.07680946910262108
173,0.7208333333333333,0.07780395438532554
174,0.725,0.07880394641753619
175,0.7291666666666666,0.07981082927534147
176,0.7333333333333333,0.08082433911620407
177,0.7375,0.08184278208181914
178,0.7416666666666667,0.08286911725447402
179,0.7458333333333333,0.08390100722882711
180,0.75,0.0849395503716828
181,0.7541666666666667,0.08598474526269513
182,0.7583333333333333,0.08703489033604885
183,0.7625,0.08809291685846977
184,0.7666666666666667,0.08915596121390525
185,0.7708333333333334,0.09022641448095452
186,0.775,0.09130270035594888
187,0.7791666666666667,0.09238448964452056
188,0.7833333333333333,0.09347454037511163
189,0.7875,0.09456883949762536
190,0.7916666666666666,0.09567018152642856
191,0.7958333333333333,0.09677880137553538
192,0.8,0.09789227317363332
193,0.8041666666666667,0.09901276222890039
194,0.8083333333333333,0.10013938623953465
195,0.8125,0.10127166393677413
196,0.8166666666666667,0.10241138592644379
197,0.8208333333333333,0.10355656737582665
198,0.825,0.10470844840599369
199,0.8291666666666667,0.1058660177031111
200,0.8333333333333334,0.10703049538041075
201,0.8375,0.10820089338762139
202,0.8416666666666667,0.1093774976689996
203,0.8458333333333333,0.11056056594651018
204,0.85,0.11174974130028323
205,0.8541666666666666,0.11294496490283502
206,0.8583333333333333,0.11414689030877984
207,0.8625,0.11535442873854405
